numerical__state,numerical__city,numerical__year_built,numerical__latitude,numerical__longitude,numerical__lot_sqft,numerical__living_sqft,nominal__type_apartment,nominal__type_mobile,nominal__type_multi_family,nominal__type_single_family,nominal__type_townhouse,remainder__number_of_stories,remainder__number_of_baths,remainder__number_of_beds,remainder__number_of_garages,remainder__basement,remainder__central_air,remainder__central_heat,remainder__city_view,remainder__community_outdoor_space,remainder__community_security_features,remainder__fenced_yard,remainder__fireplace,remainder__floor_plan,remainder__hardwood_floors,remainder__new_roof,remainder__recreation_facilities,remainder__rental_property,remainder__shopping,remainder__view
-0.48583564055356665,-0.46889350955190473,1.575599866935907,-0.24884697372237224,0.3269393963350397,-1.0621932288890488,-0.2288203291854919,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.3984442120593537,-0.45225517695139433,-2.8033910199865906,0.8954145687868801,1.0496751202686254,-1.3182575273821118,0.518555914094355,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.65285109327106,1.5670144632780487,-0.3219628507305085,0.13529565168458396,-0.9942374326900917,0.13389382248051607,-0.01683162249948978,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.393080072072012,1.3738018259546219,1.6047931395153905,-0.12764399520334244,-2.0726151801295587,1.283767464770119,-0.25203077152337533,1.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.3023136407157195,-0.34452197336308954,0.7581882347103742,0.19239293635642013,0.43918034085542745,-0.5861951153654391,-0.2938095677315655,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.65285109327106,1.5670144632780487,0.17432278312070787,0.11963788147993054,-0.984841370993806,0.20531454560409387,1.6852674822786293,0.0,0.0,0.0,1.0,0.0,2.0,3.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.5878651333205603,-0.5660197761073842,-0.29276957815102517,0.1765275649821259,0.2411578389417189,-0.22026893983228452,-1.031901634076259,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
-1.1543800685342958,-1.0512351505697686,-0.6722821216843083,-1.133113711276775,-0.1650502667000078,-0.03730585206570723,-0.4346195845813917,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
-0.5878651333205603,-0.5660197761073842,-1.3437273910124246,0.148702818898607,0.23314323381930743,-0.03730585206570723,-0.858596997953396,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.130905786589373,1.070152255995307,-0.38034939588947514,-0.04746300780535227,0.8698337895546314,1.6595665049703563,0.28335676507046936,0.0,0.0,0.0,1.0,0.0,2.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
1.130905786589373,1.070152255995307,1.2544738685615906,-0.03740092726388867,0.8740764005457375,-0.6485832176233879,-0.7858709452946945,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1.393080072072012,1.3738018259546219,0.6706084169719243,-0.18369992146150327,-2.061669808512737,-0.6000591380894277,-0.589355866833948,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.09301116947207942,-0.09494698435543356,0.8457680524488241,-2.226251982896464,0.3660066744996277,-0.3118555141907549,0.3529880920841197,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.65285109327106,1.5670144632780487,-0.43873594104844177,0.13753851798566005,-0.9926992999199753,0.06457370886057288,-0.4856825577247353,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.48583564055356665,-0.46889350955190473,0.7289949621308909,-0.256441823965755,0.32888232496803754,0.33786300528343977,1.6017098898622488,0.0,0.0,0.0,1.0,0.0,2.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-0.332900640688694,-0.32330809929743876,1.2836671411410738,0.42368823352908686,-0.45044331154339395,-1.409844101740582,0.8744493632752344,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.5890789299252528,0.4046189519748911,-0.2635763055715419,1.0052956758157536,0.032720063012991095,2.4332209851589948,-0.3603461691001647,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
-0.3023136407157195,-0.34452197336308954,0.17432278312070787,0.2403604115777896,0.4482418070370847,0.059322185101486284,0.5247453653844572,0.0,0.0,0.0,1.0,0.0,2.0,3.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.5897107861839912,1.506908486758705,-0.11760994267412529,2.023265819087737,-2.1613762651530424,0.15405967371540863,0.988954212142126,0.0,0.0,1.0,0.0,0.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.393080072072012,1.3738018259546219,0.17432278312070787,-0.15650674713506535,-2.0652959114175036,-1.1352944396155344,-0.9173967852093673,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
-0.24550921219448105,-0.24011643629488677,-1.3437273910124246,0.6721958597270241,1.1191260111730408,-1.121010294990819,-0.380461885792997,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0872100723422666,1.028556424494031,0.9917344153462407,0.0028272795091304355,-1.95875518288455,0.4202068978259177,1.6218256065550811,0.0,0.0,0.0,1.0,0.0,2.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.7654882117350481,-0.7351068311600711,1.108507505664174,0.6094280973929953,-0.24517566307304905,2.680462723736792,0.08219959814214624,0.0,0.0,0.0,1.0,0.0,2.0,3.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
-0.3875202834975771,-0.43561684435088394,-1.1685677555355247,1.492628461237506,-0.21831317953287172,-0.5313692073205749,-0.3278515498271279,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.6502529298712019,0.6125981094812711,0.8457680524488241,-0.8685382703279408,0.7369035474256002,-0.6777816897239095,-0.6729134592503284,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
