sale_price,list_price,price_reduced_amount,status,address,city,postal_code,state,state_code,latitude,longitude,year_built,sub_type,type,lot_sqft,living_sqft,number_of_stories,number_of_baths,number_of_beds,number_of_garages,basement,big_lot,central_air,central_heat,city_view,community_outdoor_space,community_security_features,dining_room,dishwasher,family_room,fenced_yard,fireplace,floor_plan,forced_air,garage_1_or_more,garage_2_or_more,hardwood_floors,laundry_room,new_roof,recreation_facilities,rental_property,shopping,single_story,two_or_more_stories,view,washer_dryer
140000.0,140000.0,,sold,643 N Willow St,Trenton,08618,New Jersey,NJ,40.232703,-74.762507,1914.0,,single_family,1412.0,1101.0,2.0,1.0,3.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
400000.0,400000.0,,sold,37 Ventana Ct,Hamilton,08619,New Jersey,NJ,40.212297,-74.706671,2015.0,condo,condos,,1746.0,2.0,3.0,3.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
685000.0,685000.0,,sold,,Robbinsville,08691,New Jersey,NJ,40.224963,-74.630867,2002.0,townhouse,townhomes,0.0,2116.0,2.0,3.0,3.0,1.0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0
359000.0,307000.0,,sold,971 S Broad St,Trenton,08611,New Jersey,NJ,40.205608,-74.74731,1900.0,,multi_family,,2349.0,,,6.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0
200000.0,185000.0,,sold,94 Bellevue Ave,Trenton,08618,New Jersey,NJ,40.226058,-74.770671,1887.0,,single_family,2614.0,1222.0,,2.0,3.0,,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
295000.0,279900.0,,sold,473 Lynwood Ave,Trenton,08629,New Jersey,NJ,40.224596,-74.727233,1925.0,townhouse,townhomes,2461.0,1380.0,3.0,1.0,4.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
400000.0,375000.0,,sold,51 Livingston St,Trenton,08611,New Jersey,NJ,40.217859,-74.761574,2005.0,condo,condos,,,3.0,4.0,4.0,2.0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0
297000.0,250000.0,,sold,46 New Rose St,Trenton,08618,New Jersey,NJ,40.230227,-74.764465,,,multi_family,,,2.0,2.0,5.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
250000.0,250000.0,,sold,891 Revere Ave,Trenton,08629,New Jersey,NJ,40.215636,-74.738061,1896.0,,single_family,4199.0,1904.0,3.0,2.0,4.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
221000.0,225000.0,,sold,490 W State St,Trenton,08618,New Jersey,NJ,40.227434,-74.779889,1892.0,,multi_family,2601.0,2745.0,,,4.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
220000.0,230000.0,,sold,225 Grand St,Trenton,08611,New Jersey,NJ,40.204528,-74.748668,1910.0,townhouse,townhomes,1612.0,1358.0,3.0,2.0,4.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
153000.0,140000.0,,sold,1317 S Clinton Ave,Trenton,08611,New Jersey,NJ,40.205261,-74.742237,1897.0,,single_family,2178.0,1376.0,3.0,1.0,3.0,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
120000.0,120000.0,5000.0,sold,36 Tyrell Ave,Trenton,08638,New Jersey,NJ,40.22803,-74.749745,1891.0,townhouse,townhomes,1455.0,1320.0,2.0,2.0,3.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
147000.0,147000.0,,sold,21 Trent Ave,Trenton,08618,New Jersey,NJ,40.23182,-74.762017,1887.0,townhouse,townhomes,1250.0,1128.0,3.0,1.0,2.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
200000.0,209900.0,5100.0,sold,308 N Clinton Ave,Trenton,08638,New Jersey,NJ,40.228146,-74.750994,2001.0,townhouse,townhomes,2100.0,1296.0,2.0,1.0,3.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
345000.0,325000.0,,sold,6 Hastings Rd,Hamilton,08620,New Jersey,NJ,40.18926,-74.678456,1961.0,,single_family,5998.0,1064.0,2.0,2.0,2.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
106000.0,96000.0,,sold,338 Tioga St,Trenton,08609,New Jersey,NJ,40.223132,-74.742582,1925.0,townhouse,townhomes,1925.0,840.0,2.0,1.0,3.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
762000.0,699000.0,,sold,134 Burnet Cres,Robbinsville,08691,New Jersey,NJ,40.220715,-74.625743,2004.0,townhouse,townhomes,3615.0,2608.0,2.0,3.0,5.0,1.0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0
275000.0,295000.0,15000.0,sold,848 Calhoun Unit 3,Trenton,08618,New Jersey,NJ,,,1932.0,,multi_family,3920.0,1960.0,2.0,3.0,5.0,2.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0
90000.0,99000.0,,sold,474 Riverside Ave,Trenton,08618,New Jersey,NJ,40.225716,-74.783066,,,land,4291.0,,,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000.0,285000.0,,sold,66 Abernethy Dr,Trenton,08618,New Jersey,NJ,40.241187,-74.81045,1929.0,,single_family,3960.0,1496.0,2.0,2.0,3.0,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
497000.0,490000.0,9999.0,sold,7 Zelley Ave,Hamilton,08620,New Jersey,NJ,40.172509,-74.667273,1992.0,,single_family,12000.0,1680.0,2.0,2.0,5.0,1.0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1
220000.0,213000.0,,sold,862 Revere Ave,Trenton,08629,New Jersey,NJ,40.216277,-74.737875,1920.0,townhouse,duplex_triplex,2000.0,,2.0,1.0,3.0,,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
245000.0,225000.0,20000.0,sold,370-372 Reservoir St,Trenton,08618,New Jersey,NJ,40.230026,-74.771446,1945.0,townhouse,townhomes,2750.0,1826.0,2.0,2.0,3.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
150000.0,150000.0,,sold,215 Perry St,Trenton,08618,New Jersey,NJ,40.223166,-74.761819,1900.0,townhouse,townhomes,2033.0,1824.0,3.0,1.0,5.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
180000.0,179000.0,,sold,132 Bert Ave,Trenton,08629,New Jersey,NJ,40.216384,-74.740082,1915.0,townhouse,townhomes,1310.0,1228.0,3.0,2.0,4.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
65000.0,85000.0,,sold,211 Parkway Ave,Trenton,08618,New Jersey,NJ,40.23894,-74.773697,1900.0,,single_family,500.0,1472.0,3.0,2.0,3.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
188000.0,188000.0,,sold,2311 S Broad St,Trenton,08610,New Jersey,NJ,40.195164,-74.722516,1902.0,townhouse,townhomes,3241.0,2016.0,3.0,2.0,4.0,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
285000.0,289000.0,,sold,1403 Liberty St,Hamilton,08629,New Jersey,NJ,40.210819,-74.735828,1900.0,townhouse,townhomes,2100.0,1481.0,2.0,2.0,3.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
150000.0,150000.0,,sold,138 Passaic St,Trenton,08618,New Jersey,NJ,40.224735,-74.774393,1876.0,,multi_family,1442.0,1902.0,,,4.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150000.0,150000.0,,sold,140 Passaic St,Trenton,08618,New Jersey,NJ,40.224752,-74.774446,1876.0,,multi_family,1442.0,1749.0,,,4.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105000.0,95000.0,,sold,274 Walnut Ave,Trenton,08609,New Jersey,NJ,40.222915,-74.744876,1896.0,townhouse,townhomes,1612.0,1641.0,3.0,1.0,5.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
150000.0,140000.0,,sold,9 Randall Ave,Trenton,08611,New Jersey,NJ,40.203251,-74.749635,1910.0,townhouse,townhomes,1530.0,1269.0,3.0,1.0,4.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
275000.0,269000.0,,sold,50 Annabelle Ave,Hamilton,08610,New Jersey,NJ,40.198783,-74.734716,1930.0,,single_family,3001.0,1402.0,2.0,1.0,3.0,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
200000.0,199000.0,10000.0,sold,905 Carteret Ave,Trenton,08618,New Jersey,NJ,40.232021,-74.78851,1907.0,townhouse,townhomes,3877.0,1963.0,3.0,2.0,5.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
360000.0,345000.0,,sold,808 Eagles Chase Dr,Lawrenceville,08648,New Jersey,NJ,40.277725,-74.7117,1989.0,condo,condos,,1605.0,2.0,2.0,2.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0
240000.0,239000.0,10000.0,sold,107 N Hermitage Ave,Trenton,08618,New Jersey,NJ,40.230289,-74.783653,1911.0,,multi_family,6020.0,2156.0,,,4.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
100000.0,80000.0,,sold,699 Lamberton St,Trenton,08611,New Jersey,NJ,40.205393,-74.759867,1836.0,townhouse,townhomes,1019.0,1240.0,2.0,1.0,2.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
280000.0,269000.0,15500.0,sold,710 Spruce St,Trenton,08638,New Jersey,NJ,40.23888,-74.747475,1910.0,,single_family,2000.0,1280.0,2.0,2.0,3.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
465000.0,459900.0,,sold,22 Kerr Dr,Hamilton,08610,New Jersey,NJ,40.199369,-74.691609,1958.0,,single_family,7701.0,1616.0,3.0,2.0,3.0,,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
210000.0,239000.0,,sold,270 Hamilton Ave,Trenton,08609,New Jersey,NJ,40.214935,-74.751778,1886.0,,multi_family,2484.0,2572.0,,,4.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000.0,140000.0,,sold,643 N Willow St,Trenton,08618,New Jersey,NJ,40.232703,-74.762507,1914.0,,single_family,1412.0,1101.0,2.0,1.0,3.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
400000.0,400000.0,,sold,37 Ventana Ct,Hamilton,08619,New Jersey,NJ,40.212297,-74.706671,2015.0,condo,condos,,1746.0,2.0,3.0,3.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
685000.0,685000.0,,sold,,Robbinsville,08691,New Jersey,NJ,40.224963,-74.630867,2002.0,townhouse,townhomes,0.0,2116.0,2.0,3.0,3.0,1.0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0
200000.0,185000.0,,sold,94 Bellevue Ave,Trenton,08618,New Jersey,NJ,40.226058,-74.770671,1887.0,,single_family,2614.0,1222.0,,2.0,3.0,,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
359000.0,307000.0,,sold,971 S Broad St,Trenton,08611,New Jersey,NJ,40.205608,-74.74731,1900.0,,multi_family,,2349.0,,,6.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0
295000.0,279900.0,,sold,473 Lynwood Ave,Trenton,08629,New Jersey,NJ,40.224596,-74.727233,1925.0,townhouse,townhomes,2461.0,1380.0,3.0,1.0,4.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
400000.0,375000.0,,sold,51 Livingston St,Trenton,08611,New Jersey,NJ,40.217859,-74.761574,2005.0,condo,condos,,,3.0,4.0,4.0,2.0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0
297000.0,250000.0,,sold,46 New Rose St,Trenton,08618,New Jersey,NJ,40.230227,-74.764465,,,multi_family,,,2.0,2.0,5.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
250000.0,250000.0,,sold,891 Revere Ave,Trenton,08629,New Jersey,NJ,40.215636,-74.738061,1896.0,,single_family,4199.0,1904.0,3.0,2.0,4.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
221000.0,225000.0,,sold,490 W State St,Trenton,08618,New Jersey,NJ,40.227434,-74.779889,1892.0,,multi_family,2601.0,2745.0,,,4.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
220000.0,230000.0,,sold,225 Grand St,Trenton,08611,New Jersey,NJ,40.204528,-74.748668,1910.0,townhouse,townhomes,1612.0,1358.0,3.0,2.0,4.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
153000.0,140000.0,,sold,1317 S Clinton Ave,Trenton,08611,New Jersey,NJ,40.205261,-74.742237,1897.0,,single_family,2178.0,1376.0,3.0,1.0,3.0,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
120000.0,120000.0,5000.0,sold,36 Tyrell Ave,Trenton,08638,New Jersey,NJ,40.22803,-74.749745,1891.0,townhouse,townhomes,1455.0,1320.0,2.0,2.0,3.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
147000.0,147000.0,,sold,21 Trent Ave,Trenton,08618,New Jersey,NJ,40.23182,-74.762017,1887.0,townhouse,townhomes,1250.0,1128.0,3.0,1.0,2.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
200000.0,209900.0,5100.0,sold,308 N Clinton Ave,Trenton,08638,New Jersey,NJ,40.228146,-74.750994,2001.0,townhouse,townhomes,2100.0,1296.0,2.0,1.0,3.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
345000.0,325000.0,,sold,6 Hastings Rd,Hamilton,08620,New Jersey,NJ,40.18926,-74.678456,1961.0,,single_family,5998.0,1064.0,2.0,2.0,2.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
106000.0,96000.0,,sold,338 Tioga St,Trenton,08609,New Jersey,NJ,40.223132,-74.742582,1925.0,townhouse,townhomes,1925.0,840.0,2.0,1.0,3.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
762000.0,699000.0,,sold,134 Burnet Cres,Robbinsville,08691,New Jersey,NJ,40.220715,-74.625743,2004.0,townhouse,townhomes,3615.0,2608.0,2.0,3.0,5.0,1.0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0
275000.0,295000.0,15000.0,sold,848 Calhoun Unit 3,Trenton,08618,New Jersey,NJ,,,1932.0,,multi_family,3920.0,1960.0,2.0,3.0,5.0,2.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0
90000.0,99000.0,,sold,474 Riverside Ave,Trenton,08618,New Jersey,NJ,40.225716,-74.783066,,,land,4291.0,,,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
497000.0,490000.0,9999.0,sold,7 Zelley Ave,Hamilton,08620,New Jersey,NJ,40.172509,-74.667273,1992.0,,single_family,12000.0,1680.0,2.0,2.0,5.0,1.0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1
300000.0,285000.0,,sold,66 Abernethy Dr,Trenton,08618,New Jersey,NJ,40.241187,-74.81045,1929.0,,single_family,3960.0,1496.0,2.0,2.0,3.0,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
220000.0,213000.0,,sold,862 Revere Ave,Trenton,08629,New Jersey,NJ,40.216277,-74.737875,1920.0,townhouse,duplex_triplex,2000.0,,2.0,1.0,3.0,,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
245000.0,225000.0,20000.0,sold,370-372 Reservoir St,Trenton,08618,New Jersey,NJ,40.230026,-74.771446,1945.0,townhouse,townhomes,2750.0,1826.0,2.0,2.0,3.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
150000.0,150000.0,,sold,215 Perry St,Trenton,08618,New Jersey,NJ,40.223166,-74.761819,1900.0,townhouse,townhomes,2033.0,1824.0,3.0,1.0,5.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
180000.0,179000.0,,sold,132 Bert Ave,Trenton,08629,New Jersey,NJ,40.216384,-74.740082,1915.0,townhouse,townhomes,1310.0,1228.0,3.0,2.0,4.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
65000.0,85000.0,,sold,211 Parkway Ave,Trenton,08618,New Jersey,NJ,40.23894,-74.773697,1900.0,,single_family,500.0,1472.0,3.0,2.0,3.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
130000.0,80000.0,,sold,506 Liberty St,Trenton,08611,New Jersey,NJ,40.205595,-74.741454,1886.0,,single_family,1307.0,,,1.0,2.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
,1300000.0,,sold,119 Barranca Rd,Santa Fe,87501,New Mexico,NM,35.712229,-105.916593,2002.0,,single_family,87991.0,2946.0,1.0,3.0,4.0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1
,530000.0,,sold,3358 Zinnia Ln,Santa Fe,87507,New Mexico,NM,35.623428,-105.998647,2024.0,,single_family,7137.0,1712.0,1.0,2.0,4.0,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1
,490000.0,15000.0,sold,17 Los Ojitos Rd,Santa Fe,87506,New Mexico,NM,35.860632,-106.008071,1954.0,,single_family,12763.0,2107.0,1.0,2.0,3.0,,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
,449000.0,,sold,107 Huddleson St,Santa Fe,87501,New Mexico,NM,35.685564,-105.968112,1980.0,,single_family,3790.0,1076.0,1.0,2.0,2.0,,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1
